electricidad_uso,electricidad_emisiones,auto_uso,auto_emisiones,avion_uso,avion_emisiones,residuos_uso,residuos_emisiones,agua_uso,agua_emisiones,total_emisiones
8415.02,3998.8175,447.0,79.2531,1769.79,451.2964,270.64,514.216,15622.12,4.6866,5048.2696
9736.8,4626.9274,745.29,132.1399,433.62,110.5731,306.05,581.495,1993.2,0.598,5451.7334
4173.52,1983.2567,145.49,25.7954,1781.2,454.206,356.82,677.958,1216.76,0.365,3141.5811
693.67,329.632,589.53,104.5237,1333.33,339.9991,164.66,312.854,23788.92,7.1367,1094.1455
6074.11,2886.4171,1936.96,343.423,540.48,137.8224,355.45,675.355,46522.22,13.9567,4056.9742
8152.37,3874.0062,680.81,120.7076,497.92,126.9696,13.06,24.814,17845.83,5.3537,4151.8511
2607.43,1239.0507,657.02,116.4896,1357.22,346.0911,150.02,285.038,13927.93,4.1784,1990.8478
4399.95,2090.8562,1989.47,352.733,687.07,175.2029,267.63,508.497,24043.29,7.213,3134.5021
8770.08,4167.542,812.35,144.0297,1048.02,267.2451,167.07,317.433,32059.19,9.6178,4905.8676
8169.9,3882.3365,1765.61,313.0427,1038.97,264.9374,92.85,176.415,34042.55,10.2128,4646.9444
2325.63,1105.1394,806.04,142.9109,421.32,107.4366,73.67,139.973,12389.9,3.717,1499.1769
9491.54,4510.3798,871.5,154.517,950.31,242.329,408.8,776.72,27256.77,8.177,5692.1228
7623.87,3622.863,961.3,170.4385,643.93,164.2021,178.82,339.758,7708.41,2.3125,4299.5741
9385.37,4459.9278,1713.83,303.8621,1482.54,378.0477,239.46,454.974,12442.42,3.7327,5600.5443
4997.39,2374.7597,1036.9,183.8424,719.26,183.4113,88.29,167.751,35076.12,10.5228,2920.2872
5869.16,2789.0248,1602.04,284.0417,543.25,138.5288,256.95,488.205,3907.71,1.1723,3700.9726
8828.56,4195.3317,1314.0,232.9722,1776.92,453.1146,285.17,541.823,48485.74,14.5457,5437.7872
9284.58,4412.0324,747.31,132.4981,114.42,29.1771,430.41,817.779,15038.82,4.5116,5395.9982
1641.43,780.0075,1789.76,317.3244,1764.94,450.0597,132.02,250.838,34880.07,10.464,1808.6936
800.67,380.4784,793.97,140.7709,774.06,197.3853,47.3,89.87,5901.88,1.7706,810.2752
4820.98,2290.9297,95.67,16.9623,737.03,187.9426,165.91,315.229,3233.68,0.9701,2812.0337
1375.32,653.5521,461.59,81.8399,1756.61,447.9355,483.89,919.391,23096.1,6.9288,2109.6473
3652.36,1735.6015,1886.22,334.4268,738.86,188.4093,440.66,837.254,47302.08,14.1906,3109.8822
6948.55,3301.951,694.57,123.1473,1874.54,478.0077,489.68,930.392,40033.49,12.01,4845.508
7099.62,3373.7394,936.45,166.0326,969.54,247.2327,16.71,31.749,33185.26,9.9556,3828.7093
2448.72,1163.6317,592.49,105.0485,1594.25,406.5337,238.2,452.58,49785.99,14.9358,2142.7297
4656.8,2212.9114,313.9,55.6545,1593.53,406.3501,93.92,178.448,23359.75,7.0079,2860.3719
5538.11,2631.7099,226.92,40.2329,1544.97,393.9674,119.41,226.879,12236.38,3.6709,3296.4601
4136.56,1965.6933,1257.46,222.9477,548.74,139.9287,244.74,465.006,21019.47,6.3058,2799.8815
6452.55,3066.2518,1480.8,262.5458,118.76,30.2838,452.76,860.244,43792.74,13.1378,4232.4632
2842.19,1350.6087,422.67,74.9394,125.81,32.0816,296.12,562.628,38174.87,11.4525,2031.7102
4127.95,1961.6018,321.97,57.0853,627.9,160.1145,283.48,538.612,46812.55,14.0438,2731.4574
1526.43,725.3595,1940.92,344.1251,1819.98,464.0949,165.07,313.633,46912.35,14.0737,1861.2862
4696.38,2231.7198,933.07,165.4333,87.46,22.3023,321.41,610.679,16158.71,4.8476,3034.982
4327.88,2056.6086,369.17,65.4538,820.74,209.2887,237.84,451.896,16395.72,4.9187,2788.1658
3239.6,1539.4579,1132.94,200.8703,1627.4,414.987,74.46,141.474,40643.46,12.193,2308.9822
8643.31,4107.3009,1500.54,266.0457,239.59,61.0954,460.44,874.836,12652.56,3.7958,5313.0738
3837.24,1823.4564,1010.22,179.112,459.56,117.1878,177.27,336.813,34832.58,10.4498,2467.019
4026.21,1913.255,637.37,113.0057,416.32,106.1616,66.92,127.148,34422.36,10.3267,2269.897
6329.29,3007.6786,1794.84,318.2251,1227.14,312.9207,152.7,290.13,29993.27,8.998,3937.9524
6536.09,3105.95,1372.06,243.2662,1729.17,440.9384,29.53,56.107,21878.8,6.5636,3852.8252
1723.31,818.9169,1939.93,343.9496,587.05,149.6977,67.93,129.067,49995.71,14.9987,1456.6299
7815.08,3713.726,1185.47,210.1838,966.49,246.4549,119.36,226.784,35942.35,10.7827,4407.9314
1020.31,484.8513,1380.64,244.7875,1683.23,429.2237,248.4,471.96,4959.56,1.4879,1632.3104
4036.1,1917.9547,861.06,152.6659,230.52,58.7826,417.38,793.022,41053.0,12.3159,2934.7411
7072.21,3360.7142,1276.32,226.2915,1008.07,257.0579,438.81,833.739,39405.39,11.8216,4689.6242
9996.38,4750.2798,1142.76,202.6113,459.08,117.0654,32.19,61.161,44026.79,13.208,5144.3255
3768.55,1790.815,213.21,37.8021,11.83,3.0167,497.22,944.718,30787.62,9.2363,2785.5881
2026.3,962.8978,1435.04,254.4326,646.88,164.9544,251.54,477.926,31830.6,9.5492,1869.76
4321.2,2053.4342,1499.08,265.7869,853.15,217.5532,346.45,658.255,37755.59,11.3267,3206.356
4376.09,2079.518,1822.57,323.1417,1851.59,472.1554,171.82,326.458,47957.73,14.3873,3215.6604
1330.16,632.092,1192.21,211.3788,685.6,174.828,343.46,652.574,2281.16,0.6843,1671.5571
2651.62,1260.0498,938.02,166.3109,568.21,144.8936,177.69,337.611,40608.63,12.1826,1921.0479
858.58,407.9972,1643.13,291.3269,31.32,7.9866,298.99,568.081,37418.27,11.2255,1286.6172
1221.83,580.6136,1086.92,192.7109,1978.14,504.4257,144.42,274.398,40277.14,12.0831,1564.2313
7394.33,3513.7856,943.35,167.256,942.05,240.2227,56.18,106.742,48139.04,14.4417,4042.448
156.62,74.4258,674.03,119.5055,193.49,49.34,363.07,689.833,48152.62,14.4458,947.5501
4518.86,2147.3623,1682.61,298.3268,1745.3,445.0515,161.48,306.812,6587.34,1.9762,3199.5288
6804.06,3233.2893,927.01,164.3589,567.12,144.6156,256.11,486.609,46251.08,13.8753,4042.7481
6480.7,3079.6286,1149.62,203.8276,1491.11,380.233,419.45,796.955,17832.96,5.3499,4465.9941
1579.01,750.3456,1581.87,280.4656,1718.45,438.2048,488.26,927.694,39061.8,11.7185,2408.4285
3549.3,1686.6274,1538.98,272.8612,318.41,81.1946,344.59,654.721,6232.52,1.8698,2697.274
3503.27,1664.7539,1967.15,348.7757,448.2,114.291,280.27,532.513,19042.96,5.7129,2666.0465
4576.87,2174.9286,1745.44,309.4665,683.01,174.1676,155.23,294.937,38107.61,11.4323,2964.932
4363.17,2073.3784,249.19,44.1814,1119.46,285.4623,340.55,647.045,25284.66,7.5854,3057.6525
4425.82,2103.1497,524.97,93.0772,1093.6,278.868,267.78,508.782,9367.62,2.8103,2986.6872
166.18,78.9687,325.7,57.7466,1999.67,509.9159,322.55,612.845,40074.27,12.0223,1271.4985
3534.46,1679.5754,778.49,138.0263,490.6,125.103,434.56,825.664,35960.83,10.7882,2779.1569
5912.83,2809.7768,956.32,169.5555,792.37,202.0543,109.95,208.905,25964.09,7.7892,3398.0808
1106.29,525.709,1255.49,222.5984,894.71,228.1511,316.38,601.122,16174.89,4.8525,1582.433
3682.71,1750.0238,245.36,43.5023,576.31,146.959,376.51,715.369,17276.43,5.1829,2661.037
1131.4,537.6413,1603.8,284.3537,928.44,236.7522,496.13,942.647,21035.56,6.3107,2007.7049
373.16,177.3256,1959.6,347.4371,696.42,177.5871,461.43,876.717,40520.87,12.1563,1591.2231
7740.11,3678.1003,723.34,128.2482,176.9,45.1095,296.06,562.514,25056.38,7.5169,4421.4889
9757.5,4636.764,330.78,58.6473,152.45,38.8747,416.41,791.179,5243.67,1.5731,5527.0381
4400.67,2091.1984,1415.37,250.9451,1026.26,261.6963,39.98,75.962,42686.41,12.8059,2692.6077
4954.62,2354.4354,122.65,21.7458,51.62,13.1631,147.11,279.509,17295.18,5.1886,2674.0419
6843.81,3252.1785,1885.81,334.3541,204.33,52.1042,257.47,489.193,23563.19,7.069,4134.8988
6259.87,2974.6902,1106.35,196.1559,810.64,206.7132,172.1,326.99,36597.12,10.9791,3715.5284
3323.13,1579.1514,662.54,117.4683,1689.25,430.7588,358.4,680.96,35875.93,10.7628,2819.1013
5478.55,2603.407,1570.98,278.5348,1847.41,471.0896,286.45,544.255,11090.87,3.3273,3900.6137
8463.06,4021.6461,1552.79,275.3097,1711.43,436.4147,408.86,776.834,1165.01,0.3495,5510.554
1730.94,822.5427,804.79,142.6893,1798.06,458.5053,94.77,180.063,28089.5,8.4268,1612.2271
6311.59,2999.2676,1948.64,345.4939,1582.23,403.4687,493.53,937.707,36637.3,10.9912,4696.9284
9187.82,4366.0521,406.66,72.1008,1522.75,388.3012,19.85,37.715,22190.97,6.6573,4870.8264
4223.28,2006.9027,886.52,157.18,1470.77,375.0464,418.03,794.257,20089.13,6.0267,3339.4128
1325.47,629.8633,1603.65,284.3271,1139.96,290.6898,430.26,817.494,47590.4,14.2771,2036.6513
894.12,424.8858,479.47,85.01,1904.68,485.6934,180.17,342.323,6914.13,2.0742,1339.9864
2913.64,1384.5617,99.4,17.6236,1893.59,482.8655,282.23,536.237,21383.77,6.4151,2427.7029
9732.33,4624.8032,1883.33,333.9144,1115.17,284.3684,462.3,878.37,48711.02,14.6133,6136.0693
4786.57,2274.5781,232.7,41.2577,1013.77,258.5113,148.02,281.238,34904.92,10.4715,2866.0566
2105.9,1000.7237,164.83,29.2244,805.19,205.3235,28.12,53.428,47272.1,14.1816,1302.8812
5154.86,2449.5895,1384.46,245.4648,881.68,224.8284,84.21,159.999,32398.51,9.7196,3089.6013
1701.47,808.5385,1563.2,277.1554,69.66,17.7633,246.75,468.825,8236.57,2.471,1574.7532
1250.64,594.3041,626.84,111.1387,1970.56,502.4928,452.95,860.605,23265.1,6.9795,2075.5201
7961.01,3783.072,1046.13,185.4788,523.99,133.6174,251.43,477.717,23654.79,7.0964,4586.9816
1883.45,895.0154,94.52,16.7584,1127.07,287.4029,275.66,523.754,30292.6,9.0878,1732.0185
861.69,409.4751,1071.54,189.984,76.43,19.4897,426.94,811.186,25760.73,7.7282,1437.863
1059.9,503.6645,632.69,112.1759,1362.36,347.4018,397.04,754.376,24364.89,7.3095,1724.9277
2729.93,1297.2627,477.79,84.7122,1413.45,360.4298,402.1,763.99,36979.03,11.0937,2517.4884
1222.8,581.0746,1936.45,343.3326,597.5,152.3625,417.2,792.68,11594.16,3.4782,1872.9279
6942.4,3299.0285,55.47,9.8348,1561.8,398.259,471.33,895.527,31312.38,9.3937,4612.043
7813.58,3713.0132,1981.43,351.3075,918.09,234.113,307.19,583.661,25258.34,7.5775,4889.6722
1527.39,725.8157,1602.71,284.1605,1120.57,285.7453,131.43,249.717,43088.42,12.9265,1558.365
5144.56,2444.6949,1347.55,238.9206,24.92,6.3546,48.51,92.169,34128.45,10.2385,2792.3776
486.84,231.3464,863.75,153.1429,658.14,167.8257,46.26,87.894,11934.3,3.5803,643.7893
3511.82,1668.8169,520.05,92.2049,1641.39,418.5545,269.22,511.518,45700.06,13.71,2704.8043
5526.32,2626.1073,1098.05,194.6843,531.59,135.5555,52.46,99.674,29077.9,8.7234,3064.7445
7963.01,3784.0224,1155.24,204.8241,1585.85,404.3918,270.24,513.456,41493.28,12.448,4919.1423
4904.91,2330.8132,512.2,90.8131,922.65,235.2757,125.88,239.172,21217.75,6.3653,2902.4393
7110.49,3378.9048,1445.64,256.312,118.03,30.0977,214.23,407.037,44820.88,13.4463,4085.7978
759.53,360.9287,1783.58,316.2287,1531.97,390.6524,131.69,250.211,42428.87,12.7287,1330.7495
6787.82,3225.5721,1213.61,215.1731,1941.96,495.1998,364.66,692.854,20537.71,6.1613,4634.9603
6580.59,3127.0964,138.21,24.5046,1230.76,313.8438,237.11,450.509,4270.38,1.2811,3917.2349
8343.32,3964.7457,1122.34,198.9909,1820.55,464.2403,201.7,383.23,39482.41,11.8447,5023.0516
6297.09,2992.3772,464.31,82.3222,728.66,185.8083,428.77,814.663,21353.57,6.4061,4081.5768
1059.39,503.4221,1063.2,188.5054,1381.63,352.3157,487.75,926.725,2352.19,0.7057,1971.6739
5575.46,2649.4586,1548.73,274.5898,1137.33,290.0191,452.83,860.377,25878.13,7.7634,4082.2079
360.73,171.4189,1182.45,209.6484,712.39,181.6594,340.09,646.171,10950.19,3.2851,1212.1828
2536.63,1205.4066,1786.43,316.734,534.4,136.272,281.71,535.249,36808.23,11.0425,2204.7041
3157.67,1500.5248,311.43,55.2165,1887.14,481.2207,49.09,93.271,46753.06,14.0259,2144.2589
8730.72,4148.8381,1110.48,196.8881,1049.5,267.6225,299.52,569.088,6531.33,1.9594,5184.3961
1151.34,547.1168,41.72,7.397,1894.59,483.1205,328.65,624.435,30412.43,9.1237,1671.193
2317.19,1101.1287,1018.91,180.6527,1209.58,308.4429,206.82,392.958,19019.69,5.7059,1988.8882
2886.82,1371.8169,452.5,80.2283,1046.52,266.8626,126.34,240.046,14162.56,4.2488,1963.2026
6330.53,3008.2679,601.11,106.5768,1395.97,355.9724,476.34,905.046,34341.97,10.3026,4386.1657
8959.4,4257.5069,387.83,68.7623,1982.87,505.6318,473.01,898.719,15858.74,4.7576,5735.3776
1825.02,867.2495,1180.14,209.2388,759.88,193.7694,222.72,423.168,27522.48,8.2567,1701.6824
3578.57,1700.5365,1355.22,240.2805,515.66,131.4933,89.67,170.373,25864.86,7.7595,2250.4428
9689.37,4604.3886,1518.5,269.2301,1594.91,406.7021,237.98,452.162,42560.71,12.7682,5745.251
2613.61,1241.9875,1164.81,206.5208,803.01,204.7675,34.16,64.904,49163.75,14.7491,1732.9289
3335.05,1584.8158,1895.89,336.1413,1484.74,378.6087,97.01,184.319,46480.35,13.9441,2497.8289
1919.25,912.0276,1627.12,288.4884,1660.72,423.4836,445.43,846.317,37976.95,11.3931,2481.7097
4773.99,2268.6,222.82,39.506,863.08,220.0854,334.05,634.695,31206.0,9.3618,3172.2482
8052.71,3826.6478,585.69,103.8428,938.55,239.3303,189.33,359.727,34763.77,10.4291,4539.977
5468.72,2598.7357,1686.63,299.0395,543.13,138.4982,206.25,391.875,29011.03,8.7033,3436.8517
5145.55,2445.1654,111.83,19.8275,1864.07,475.3379,359.11,682.309,27852.71,8.3558,3630.9956
1678.82,797.7753,592.09,104.9776,36.4,9.282,21.42,40.698,10794.83,3.2384,955.9713
8091.02,3844.8527,1167.97,207.0811,1973.7,503.2935,279.89,531.791,15416.57,4.625,5091.6433
755.93,359.2179,429.29,76.1131,1133.55,289.0553,220.55,419.045,44811.36,13.4434,1156.8747
4265.45,2026.9418,1282.74,227.4298,1435.26,365.9913,152.25,289.275,30849.35,9.2548,2918.8927
1876.26,891.5988,396.64,70.3243,88.02,22.4451,493.1,936.89,6476.56,1.943,1923.2012
2248.18,1068.3351,558.63,99.0451,1940.93,494.9372,97.54,185.326,46576.26,13.9729,1861.6163
6546.17,3110.74,742.77,131.6931,655.09,167.048,346.7,658.73,38624.58,11.5874,4079.7985
5713.55,2715.079,1612.9,285.9672,147.08,37.5054,144.01,273.619,2591.46,0.7774,3312.948
1415.64,672.7121,348.98,61.8742,881.56,224.7978,306.07,581.533,20182.93,6.0549,1546.972
8791.36,4177.6543,650.36,115.3088,814.17,207.6133,238.01,452.219,47859.13,14.3577,4967.1531
8462.24,4021.2564,1012.36,179.4914,1335.86,340.6443,28.24,53.656,4133.31,1.24,4596.2881
4629.71,2200.0382,1103.55,195.6594,195.94,49.9647,269.13,511.347,25563.49,7.669,2964.6783
133.46,63.4202,422.74,74.9518,994.97,253.7174,242.38,460.522,48606.65,14.582,867.1934
6989.48,3321.4009,338.65,60.0426,1178.28,300.4614,132.09,250.971,49148.73,14.7446,3947.6205
4115.6,1955.7331,1441.85,255.64,102.56,26.1528,309.82,588.658,37205.41,11.1616,2837.3455
8027.79,3814.8058,211.69,37.5326,732.0,186.66,84.58,160.702,9129.66,2.7389,4202.4393
6597.3,3135.037,373.03,66.1382,1895.95,483.4673,449.99,854.981,35451.62,10.6355,4550.259
8100.94,3849.5667,1529.26,271.1378,1174.28,299.4414,420.21,798.399,47075.2,14.1226,5232.6675
9214.09,4378.5356,1265.05,224.2934,173.34,44.2017,204.69,388.911,39684.51,11.9054,5047.8471
8798.31,4180.9569,1034.0,183.3282,1119.01,285.3476,340.55,647.045,28067.67,8.4203,5305.098
1992.57,946.8693,1446.93,256.5407,1590.41,405.5546,440.19,836.361,31088.19,9.3265,2454.6521
2831.07,1345.3245,824.78,146.2335,642.37,163.8043,384.57,730.683,5436.84,1.6311,2387.6764
3199.31,1520.3121,1831.74,324.7675,1515.27,386.3938,305.61,580.659,10052.41,3.0157,2815.1481
3601.42,1711.3948,1444.8,256.163,466.86,119.0493,495.36,941.184,39333.32,11.8,3039.5911
3519.7,1672.5614,735.19,130.3492,481.92,122.8896,364.39,692.341,32341.44,9.7024,2627.8436
7588.05,3605.8414,280.81,49.7876,586.32,149.5116,367.53,698.307,33958.89,10.1877,4513.6353
6486.95,3082.5986,298.78,52.9737,1218.5,310.7175,261.46,496.774,36962.4,11.0887,3954.1525
2809.91,1335.2692,1651.02,292.7258,602.16,153.5508,472.82,898.358,30642.01,9.1926,2689.0964
8626.19,4099.1655,1328.49,235.5413,1924.92,490.8546,357.78,679.782,15995.55,4.7987,5510.1421
3540.08,1682.246,397.84,70.537,1019.76,260.0388,98.33,186.827,22746.3,6.8239,2206.4727
117.88,56.0166,1732.74,307.2148,1406.66,358.6983,457.77,869.763,27384.7,8.2154,1599.9081
2516.58,1195.8788,924.81,163.9688,1193.26,304.2813,372.67,708.073,44971.58,13.4915,2385.6934
6487.53,3082.8743,1025.02,181.736,277.33,70.7191,243.22,462.118,11699.15,3.5097,3800.9571
9577.96,4551.4466,791.96,140.4145,1351.29,344.579,81.42,154.698,3289.82,0.9869,5192.125
8340.62,3963.4626,1977.53,350.6161,459.51,117.175,144.23,274.037,42333.69,12.7001,4717.9908
289.4,137.5229,469.35,83.2158,1777.82,453.3441,130.57,248.083,33959.09,10.1877,932.3535
701.19,333.2055,1777.05,315.071,610.56,155.6928,322.13,612.047,22985.22,6.8956,1422.9119
2467.16,1172.3944,1242.43,220.2828,314.63,80.2306,425.82,809.058,5570.16,1.671,2283.6368
997.01,473.7792,626.23,111.0306,1106.83,282.2416,6.08,11.552,22759.18,6.8278,885.4312
9999.1,4751.5723,1295.8,229.7453,560.21,142.8536,320.09,608.171,20229.71,6.0689,5738.4111
187.96,89.3186,1730.46,306.8106,408.32,104.1216,215.03,408.557,7101.54,2.1305,910.9383
6262.45,2975.9162,1283.19,227.5096,1871.77,477.3014,427.52,812.288,14450.01,4.335,4497.3502
6247.37,2968.7502,877.94,155.6588,37.07,9.4528,71.97,136.743,48578.4,14.5735,3285.1783
8695.68,4132.1871,1459.34,258.741,1593.0,406.215,303.63,576.897,31245.98,9.3738,5383.4139
1025.67,487.3984,77.92,13.8152,411.67,104.9759,95.19,180.861,13484.33,4.0453,791.0958
807.33,383.6432,1632.41,289.4263,224.48,57.2424,164.37,312.303,43619.89,13.086,1055.7009
9450.12,4490.697,395.81,70.1771,803.87,204.9869,180.85,343.615,48073.79,14.4221,5123.8981
8491.13,4034.985,1631.08,289.1905,194.59,49.6205,225.03,427.557,46289.31,13.8868,4815.2398
6253.25,2971.5444,620.5,110.0147,1602.48,408.6324,220.19,418.361,49882.22,14.9647,3923.5172
6510.0,3093.552,1332.67,236.2824,117.94,30.0747,86.31,163.989,43658.63,13.0976,3536.9957
6040.05,2870.2318,616.09,109.2328,1319.37,336.4393,69.55,132.145,34852.47,10.4557,3458.5046
7242.64,3441.7025,230.24,40.8216,166.44,42.4422,276.11,524.609,26909.82,8.0729,4057.6482
239.7,113.9054,713.03,126.4202,1419.43,361.9547,52.16,99.104,14711.03,4.4133,705.7976
1766.52,839.4503,162.65,28.8378,1420.5,362.2275,177.26,336.794,15368.24,4.6105,1571.9201
180.93,85.9779,517.27,91.712,97.56,24.8778,292.94,556.586,13881.27,4.1644,763.3181
2011.26,955.7508,1115.08,197.7037,1246.12,317.7606,387.82,736.858,20703.25,6.211,2214.2841
8289.7,3939.2654,423.09,75.0139,518.23,132.1487,46.96,89.224,49980.91,14.9943,4250.6463
2761.77,1312.3931,107.68,19.0917,70.22,17.9061,470.01,893.019,10624.63,3.1874,2245.5973
8446.06,4013.5677,253.77,44.9934,1030.32,262.7316,240.0,456.0,36809.47,11.0428,4788.3355
4442.74,2111.19,188.91,33.4937,530.0,135.15,318.31,604.789,14690.33,4.4071,2889.0298
258.75,122.958,355.51,63.0319,861.51,219.685,382.62,726.978,19961.26,5.9884,1138.6413
8022.96,3812.5106,1538.52,272.7796,976.61,249.0356,450.35,855.665,1050.24,0.3151,5190.3059
3173.1,1507.8571,95.57,16.9446,588.6,150.093,428.91,814.929,45625.55,13.6877,2503.5114
7721.43,3669.2235,814.3,144.3754,309.2,78.846,56.65,107.635,9053.67,2.7161,4002.796
2308.63,1097.061,1583.76,280.8006,920.69,234.776,155.32,295.108,24494.65,7.3484,1915.094
4941.03,2347.9775,213.25,37.8092,992.01,252.9625,292.93,556.567,19046.85,5.7141,3201.0303
2764.82,1313.8425,1105.59,196.0211,1152.01,293.7625,245.67,466.773,25174.91,7.5525,2277.9516
7149.15,3397.2761,409.11,72.5352,1009.84,257.5092,50.44,95.836,7949.2,2.3848,3825.5413
5481.7,2604.9038,1400.11,248.2395,426.14,108.6657,85.43,162.317,45940.88,13.7823,3137.9083
1755.74,834.3276,897.92,159.2012,243.51,62.0951,359.13,682.347,29946.3,8.9839,1746.9548
3825.68,1817.9631,71.44,12.6663,1471.27,375.1739,154.59,293.721,23227.33,6.9682,2506.4925
1349.56,641.3109,708.87,125.6827,839.18,213.9909,157.13,298.547,23648.51,7.0946,1286.6261
4466.74,2122.5948,1932.71,342.6695,786.49,200.555,330.5,627.95,10018.22,3.0055,3296.7748
1939.96,921.869,937.96,166.3003,17.68,4.5084,263.92,501.448,35332.86,10.5999,1604.7256
9207.77,4375.5323,1853.79,328.677,1005.69,256.451,294.4,559.36,10609.18,3.1828,5523.2031
369.25,175.4676,915.17,162.2596,1284.75,327.6112,494.88,940.272,45215.26,13.5646,1619.175
8980.54,4267.5526,1630.05,289.0079,1358.7,346.4685,422.31,802.389,2145.98,0.6438,5706.0618
5213.4,2477.4077,1509.77,267.6822,1038.76,264.8838,82.19,156.161,35146.0,10.5438,3176.6785
8256.26,3923.3748,1880.88,333.48,1098.27,280.0589,217.66,413.554,23460.33,7.0381,4957.5058
1914.8,909.913,871.77,154.5648,748.42,190.8471,227.22,431.718,29850.22,8.9551,1695.998
5536.7,2631.0398,507.09,89.9071,215.39,54.9245,480.83,913.577,19719.0,5.9157,3695.3641
6051.96,2875.8914,139.9,24.8043,1051.74,268.1937,56.83,107.977,1138.38,0.3415,3277.2079
9688.59,4604.018,1054.77,187.0107,1260.13,321.3332,474.03,900.657,28283.41,8.485,6021.5039
1164.89,553.5557,1885.12,334.2318,1992.95,508.2022,410.33,779.627,5148.39,1.5445,2177.1612
7358.35,3496.6879,788.6,139.8188,1619.05,412.8578,349.97,664.943,31847.53,9.5543,4723.8618
9597.45,4560.7082,316.04,56.0339,750.11,191.2781,64.87,123.253,28937.29,8.6812,4939.9544
4258.33,2023.5584,533.35,94.563,1246.97,317.9774,74.71,141.949,7871.52,2.3615,2580.4093
6638.49,3154.6104,675.97,119.8495,655.75,167.2163,373.45,709.555,9771.09,2.9313,4154.1625
8533.46,4055.1002,1976.6,350.4512,751.9,191.7345,476.01,904.419,12437.19,3.7312,5505.4361
7762.65,3688.8113,416.37,73.8224,1943.32,495.5466,480.94,913.786,35256.95,10.5771,5182.5434
717.17,340.7992,735.31,130.3705,1566.84,399.5442,269.66,512.354,45267.87,13.5804,1396.6483
4252.0,2020.5504,1278.63,226.7011,129.29,32.9689,279.29,530.651,44225.74,13.2677,2824.1391
4716.85,2241.4471,820.09,145.402,257.02,65.5401,453.17,861.023,35125.65,10.5377,3323.9499
6594.1,3133.5163,345.13,61.1915,1385.43,353.2846,186.55,354.445,21350.72,6.4052,3908.8426
5379.69,2556.4287,627.19,111.2008,1426.24,363.6912,354.92,674.348,11888.58,3.5666,3709.2353
9640.66,4581.2416,688.27,122.0303,1248.68,318.4134,378.5,719.15,16937.17,5.0812,5745.9165
466.99,221.9136,1744.81,309.3548,53.06,13.5303,226.81,430.939,9816.35,2.9449,978.6826
282.29,134.1442,845.46,149.9001,608.39,155.1395,98.74,187.606,40329.3,12.0988,638.8886
8327.24,3957.1044,1318.9,233.841,1205.56,307.4178,309.9,588.81,25751.08,7.7253,5094.8985
