electricidad_uso,electricidad_emisiones,auto_uso,auto_emisiones,avion_uso,avion_emisiones,residuos_uso,residuos_emisiones,agua_uso,agua_emisiones,total_emisiones,clasificacion
5742.25,2728.7172,1702.06,301.7752,1882.23,479.9687,174.73,331.987,13326.75,3.998,3846.4461,media
5698.58,2707.9652,1024.53,181.6492,1659.91,423.2771,421.14,800.166,39160.87,11.7483,4124.8058,media
1143.63,543.453,1360.22,241.167,579.43,147.7546,307.91,585.029,3314.25,0.9943,1518.3979,media
9118.65,4333.1825,177.49,31.469,782.29,199.4839,135.07,256.633,49223.64,14.7671,4835.5355,media
1012.66,481.216,825.14,146.2973,1472.98,375.6099,292.01,554.819,2527.62,0.7583,1558.7005,media
987.82,469.4121,1417.92,251.3972,682.56,174.0528,452.57,859.883,26454.58,7.9364,1762.6815,media
9633.53,4577.8535,850.01,150.7068,1349.23,344.0537,120.9,229.71,46599.4,13.9798,5316.3038,alta
8235.33,3913.4288,927.6,164.4635,1179.39,300.7445,491.68,934.192,25081.33,7.5244,5320.3532,alta
1197.92,569.2516,234.04,41.4953,134.16,34.2108,339.92,645.848,21416.51,6.425,1297.2307,media
9012.47,4282.7257,1538.84,272.8363,515.37,131.4194,15.35,29.165,20916.26,6.2749,4722.4213,media
2401.04,1140.9742,258.73,45.8728,1333.6,340.068,191.96,364.724,33476.64,10.043,1901.682,media
5331.83,2533.6856,1963.41,348.1126,1133.79,289.1164,77.48,147.212,8019.97,2.406,3320.5326,media
6225.95,2958.5714,1210.1,214.5507,1405.97,358.5224,230.95,438.805,43078.32,12.9235,3983.373,media
7619.21,3620.6486,1309.78,232.224,1161.16,296.0958,352.29,669.351,45856.27,13.7569,4832.0763,media
1294.76,615.27,1327.79,235.4172,744.52,189.8526,160.28,304.532,1117.21,0.3352,1345.407,media
7613.86,3618.1063,1136.5,201.5015,1159.92,295.7796,428.81,814.739,10007.81,3.0023,4933.1287,media
6347.64,3016.3985,825.6,146.3789,1231.03,313.9126,264.53,502.607,7315.73,2.1947,3981.4917,media
2424.26,1152.0084,1777.98,315.2359,1002.71,255.6911,112.13,213.047,41740.99,12.5223,1948.5047,media
6272.21,2980.5542,1457.6,258.4325,461.54,117.6927,311.05,590.995,30889.33,9.2668,3956.9412,media
5692.6,2705.1235,1489.63,264.1114,1927.71,491.5661,369.46,701.974,43788.45,13.1365,4175.9115,media
4902.18,2329.5159,1610.46,285.5346,193.53,49.3501,42.3,80.37,23828.03,7.1484,2751.919,media
108.53,51.5735,1414.83,250.8494,1043.18,266.0109,440.38,836.722,45108.96,13.5327,1418.6885,media
4882.02,2319.9359,851.96,151.0525,483.91,123.3971,325.45,618.355,23961.71,7.1885,3219.929,media
5017.51,2384.3208,1103.56,195.6612,1858.73,473.9762,116.73,221.787,2568.05,0.7704,3276.5156,media
5278.5,2508.3432,1113.03,197.3402,1839.26,469.0113,332.79,632.301,38769.45,11.6308,3818.6265,media
2863.08,1360.5356,1456.72,258.2765,363.61,92.7206,282.4,536.56,48943.49,14.683,2262.7757,media
4210.42,2000.7916,553.31,98.1019,1126.96,287.3748,349.0,663.1,32224.7,9.6674,3059.0357,media
6933.63,3294.861,1384.63,245.4949,1255.84,320.2392,175.98,334.362,32639.08,9.7917,4204.7488,media
9942.9,4724.8661,32.34,5.7339,1612.15,411.0983,437.31,830.889,43821.5,13.1464,5985.7337,alta
3231.61,1535.6611,708.71,125.6543,196.68,50.1534,393.89,748.391,15427.95,4.6284,2464.4882,media
1747.2,830.2694,288.5,51.1511,1415.5,360.9525,311.57,591.983,38613.48,11.584,1845.94,media
1841.25,874.962,840.74,149.0632,920.14,234.6357,227.6,432.44,34536.35,10.3609,1701.4618,media
3376.38,1604.4558,863.38,153.0773,1141.88,291.1794,335.15,636.785,48579.19,14.5738,2700.0713,media
3270.76,1554.2652,271.16,48.0767,506.85,129.2468,63.82,121.258,8591.95,2.5776,1855.4243,media
7751.63,3683.5746,1645.39,291.7276,1097.99,279.9875,365.45,694.355,22167.21,6.6502,4956.2949,media
9787.75,4651.1388,1474.25,261.3845,346.23,88.2887,453.3,861.27,29632.86,8.8899,5870.9719,alta
1947.13,925.2762,1092.76,193.7463,679.37,173.2394,289.98,550.962,39509.65,11.8529,1855.0768,media
4466.17,2122.324,1710.23,303.2238,397.35,101.3243,158.17,300.523,17138.17,5.1415,2832.5366,media
1247.32,592.7265,1272.87,225.6799,1910.0,487.05,207.31,393.889,41146.15,12.3438,1711.6892,media
8455.8,4018.1962,1511.02,267.9038,358.79,91.4915,362.81,689.339,39546.07,11.8638,5078.7943,alta
1140.08,541.766,1823.1,323.2356,1413.72,360.4986,447.31,849.889,44757.63,13.4273,2088.8165,media
5205.82,2473.8057,210.49,37.3199,1789.05,456.2077,249.35,473.765,34114.65,10.2344,3451.3327,media
4238.74,2014.2492,214.25,37.9865,1246.11,317.758,403.17,766.023,19334.87,5.8005,3141.8172,media
5447.95,2588.8658,1362.05,241.4915,1483.2,378.216,41.64,79.116,32299.54,9.6899,3297.3792,media
1965.57,934.0389,1681.35,298.1034,51.43,13.1147,241.11,458.109,41680.76,12.5042,1715.8702,media
2452.61,1165.4803,695.03,123.2288,283.45,72.2797,383.7,729.03,49869.43,14.9608,2104.9796,media
6158.46,2926.5002,1442.15,255.6932,298.24,76.0512,167.3,317.87,41465.17,12.4396,3588.5542,media
916.88,435.7014,1848.67,327.7692,178.4,45.492,221.71,421.249,23660.43,7.0981,1237.3097,media
7485.45,3557.0858,672.23,119.1864,1120.14,285.6357,6.72,12.768,19421.1,5.8263,3980.5022,media
4049.49,1924.3176,433.56,76.8702,131.78,33.6039,357.73,679.687,36766.22,11.0299,2725.5086,media
7905.76,3756.8172,1818.14,322.3562,1184.41,302.0246,287.11,545.509,13320.41,3.9961,4930.7031,media
2562.33,1217.6192,1912.45,339.0774,1598.19,407.5385,302.79,575.301,42565.47,12.7696,2552.3057,media
7521.91,3574.4116,857.71,152.072,481.09,122.6779,127.76,242.744,18186.08,5.4558,4097.3613,media
950.2,451.535,819.17,145.2388,1010.07,257.5679,71.06,135.014,3860.56,1.1582,990.5139,baja
4154.27,1974.1091,1678.53,297.6034,1993.34,508.3017,31.06,59.014,20683.09,6.2049,2845.2331,media
6645.6,3157.9891,112.99,20.0331,437.79,111.6365,170.21,323.399,49545.85,14.8638,3627.9215,media
4731.23,2248.2805,114.22,20.2512,1688.34,430.5267,372.74,708.206,46519.65,13.9559,3421.2203,media
6832.57,3246.8373,389.96,69.1399,403.31,102.844,497.68,945.592,42827.98,12.8484,4377.2616,media
3338.96,1586.6738,797.32,141.3648,546.45,139.3448,190.85,362.615,13483.94,4.0452,2234.0436,media
243.41,115.6684,1230.21,218.1162,186.31,47.5091,287.41,546.079,5982.3,1.7947,929.1674,baja
4805.25,2283.4548,1190.3,211.0402,1726.39,440.2295,16.07,30.533,32435.15,9.7305,2974.988,media
6610.14,3141.1385,356.57,63.2199,1466.4,373.932,283.04,537.776,19289.12,5.7867,4121.8531,media
9283.48,4411.5097,752.71,133.4555,253.31,64.594,40.23,76.437,49094.13,14.7282,4700.7244,media
1901.7,903.6878,1533.22,271.8399,192.39,49.0594,404.67,768.873,37377.27,11.2132,2004.6733,media
5753.4,2734.0157,1582.32,280.5453,79.92,20.3796,237.97,452.143,4894.45,1.4683,3488.5519,media
3466.89,1647.4661,1075.83,190.7447,603.55,153.9052,51.88,98.572,47803.17,14.341,2105.029,media
4666.41,2217.478,1160.64,205.7815,1969.06,502.1103,124.04,235.676,12816.67,3.845,3164.8908,media
9870.36,4690.3951,342.01,60.6384,732.01,186.6626,170.22,323.418,3284.13,0.9852,5262.0993,alta
4112.34,1954.184,641.48,113.7344,432.12,110.1906,350.8,666.52,25143.78,7.5431,2852.1721,media
4966.21,2359.943,1320.68,234.1566,1829.3,466.4715,8.46,16.074,48876.77,14.663,3091.3081,media
494.46,234.9674,1592.22,282.3006,1089.57,277.8404,458.19,870.561,10353.72,3.1061,1668.7755,media
7442.65,3536.7473,130.53,23.143,860.44,219.4122,356.67,677.673,2735.64,0.8207,4457.7962,media
9527.32,4527.3825,305.97,54.2485,1190.82,303.6591,382.3,726.37,46816.24,14.0449,5625.705,alta
9446.86,4489.1479,1947.38,345.2705,1529.71,390.0761,327.45,622.155,44095.71,13.2287,5859.8782,alta
4185.77,1989.0779,487.05,86.354,1276.81,325.5865,281.08,534.052,37500.77,11.2502,2946.3206,media
8312.05,3949.8862,1001.13,177.5003,1034.24,263.7312,217.35,412.965,16968.13,5.0904,4809.1731,media
2548.69,1211.1375,533.9,94.6605,45.63,11.6357,84.11,159.809,12604.07,3.7812,1481.0239,media
8479.0,4029.2208,1456.36,258.2126,1729.15,440.9333,138.73,263.587,31795.59,9.5387,5001.4924,alta
468.44,222.6027,47.53,8.4271,679.94,173.3847,263.59,500.821,16711.68,5.0135,910.249,baja
1436.79,682.7626,1457.98,258.4999,27.15,6.9232,128.79,244.701,35158.0,10.5474,1203.4341,media
9404.09,4468.8236,1521.63,269.785,197.19,50.2835,272.82,518.358,10310.7,3.0932,5310.3433,alta
5330.24,2532.93,279.4,49.5376,909.06,231.8103,130.03,247.057,14300.53,4.2902,3065.6251,media
1476.12,701.4522,936.13,165.9758,668.39,170.4394,342.98,651.662,24358.62,7.3076,1696.837,media
7051.84,3351.0344,1332.98,236.3374,326.58,83.2779,211.2,401.28,31405.51,9.4217,4081.3514,media
7727.5,3672.108,785.71,139.3064,1206.89,307.757,265.01,503.519,19404.52,5.8214,4628.5118,media
6838.56,3249.6837,795.6,141.0599,291.38,74.3019,320.83,609.577,9296.5,2.7889,4077.4114,media
493.2,234.3686,1597.13,283.1711,1939.58,494.5929,214.94,408.386,11993.51,3.5981,1424.1167,media
6390.98,3036.9937,435.64,77.239,91.92,23.4396,308.81,586.739,26154.25,7.8463,3732.2576,media
2001.57,951.1461,394.82,70.0016,574.03,146.3776,428.15,813.485,39163.19,11.749,1992.7593,media
7226.81,3434.1801,1765.6,313.0409,1078.01,274.8926,414.83,788.177,9049.63,2.7149,4813.0055,media
1856.24,882.0852,1176.19,208.5385,1018.42,259.6971,407.98,775.162,42347.48,12.7042,2138.187,media
7346.52,3491.0663,411.97,73.0423,1327.31,338.464,490.12,931.228,39859.43,11.9578,4845.7584,media
8447.8,4014.3946,333.17,59.071,1441.48,367.5774,347.1,659.49,33330.65,9.9992,5110.5322,alta
1271.86,604.3879,535.07,94.8679,314.84,80.2842,214.96,408.424,1239.8,0.3719,1188.3359,media
383.26,182.1252,859.59,152.4053,1471.47,375.2249,438.73,833.587,9398.01,2.8194,1546.1618,media
8688.71,4128.875,1236.01,219.1446,471.01,120.1076,283.88,539.372,16461.32,4.9384,5012.4376,alta
8748.45,4157.2634,1786.68,316.7784,1105.58,281.9229,17.7,33.63,36549.12,10.9647,4800.5594,media
2678.24,1272.6996,37.35,6.6222,719.74,183.5337,492.05,934.895,31126.51,9.338,2407.0885,media
1613.43,766.7019,671.36,119.0321,1535.78,391.6239,293.78,558.182,8355.19,2.5066,1838.0465,media
6514.72,3095.7949,1945.12,344.8698,1812.97,462.3074,422.18,802.142,30851.75,9.2555,4714.3696,media
6458.04,3068.8606,923.31,163.7029,1815.22,462.8811,358.38,680.922,2425.97,0.7278,4377.0944,media
5883.65,2795.9105,954.3,169.1974,1227.74,313.0737,384.82,731.158,14232.68,4.2698,4013.6094,media
2926.87,1390.8486,1987.65,352.4103,937.5,239.0625,38.15,72.485,45611.93,13.6836,2068.49,media
6591.01,3132.048,1023.88,181.5339,478.47,122.0099,79.91,151.829,45282.79,13.5848,3601.0056,media
2265.35,1076.4943,1015.78,180.0978,1708.4,435.642,16.88,32.072,43150.06,12.945,1737.2511,media
8708.87,4138.455,230.56,40.8783,277.2,70.686,469.63,892.297,30217.37,9.0652,5151.3815,alta
5172.74,2458.086,1411.27,250.2182,1400.41,357.1046,365.28,694.032,47016.18,14.1049,3773.5457,media
5669.02,2693.9183,1749.38,310.1651,1355.67,345.6959,472.63,897.997,16745.19,5.0236,4252.7999,media
7918.94,3763.0803,1716.57,304.3479,339.93,86.6822,180.24,342.456,43997.84,13.1994,4509.7658,media
2326.53,1105.5671,1655.97,293.6035,441.37,112.5494,47.65,90.535,25705.07,7.7115,1609.9665,media
3310.17,1572.9928,701.68,124.4079,1709.92,436.0296,332.4,631.56,27471.58,8.2415,2773.2318,media
3930.6,1867.8211,1416.65,251.172,664.73,169.5062,76.89,146.091,40559.61,12.1679,2446.7582,media
7327.23,3481.8997,38.32,6.7941,733.89,187.142,423.74,805.106,39948.09,11.9844,4492.9262,media
3172.32,1507.4865,780.08,138.3082,668.28,170.4114,185.16,351.804,45134.95,13.5405,2181.5506,media
7314.74,3475.9644,1264.04,224.1143,643.35,164.0542,240.58,457.102,28788.71,8.6366,4329.8715,media
1557.65,740.1953,488.21,86.5596,295.5,75.3525,408.83,776.777,31551.17,9.4654,1688.3498,media
9790.7,4652.5406,481.57,85.3824,309.81,79.0016,330.05,627.095,44144.21,13.2433,5457.2629,alta
2011.75,955.9836,900.5,159.6587,1098.26,280.0563,304.66,578.854,11777.32,3.5332,1978.0858,media
6672.52,3170.7815,733.57,130.062,1205.03,307.2826,244.38,464.322,33614.74,10.0844,4082.5325,media
6757.84,3211.3256,1990.8,352.9688,1055.53,269.1601,347.04,659.376,30097.28,9.0292,4501.8597,media
8548.33,4062.1664,835.03,148.0508,818.16,208.6308,357.77,679.763,15642.56,4.6928,5103.3038,alta
1545.14,734.2505,1359.88,241.1067,228.82,58.3491,229.44,435.936,31496.14,9.4488,1479.0911,media
2456.39,1167.2765,1647.64,292.1266,772.76,197.0538,424.73,806.987,36348.59,10.9046,2474.3485,media
5021.97,2386.4401,1634.36,289.772,305.91,78.0071,426.8,810.92,30490.36,9.1471,3574.2863,media
326.72,155.2573,1344.06,238.3018,818.52,208.7226,235.28,447.032,48102.17,14.4307,1063.7444,media
2796.48,1328.8873,1091.59,193.5389,1467.91,374.3171,84.09,159.771,10503.59,3.1511,2059.6654,media
6226.77,2958.9611,1124.39,199.3543,17.65,4.5008,95.61,181.659,20611.37,6.1834,3350.6586,media
8338.59,3962.498,728.48,129.1595,346.46,88.3473,37.03,70.357,12487.47,3.7462,4254.108,media
5422.1,2576.5819,841.96,149.2795,1942.1,495.2355,363.15,689.985,45300.46,13.5901,3924.672,media
6750.64,3207.9041,1763.31,312.6349,1120.1,285.6255,480.93,913.767,46156.24,13.8469,4733.7784,media
9011.48,4282.2553,1393.57,247.08,934.55,238.3102,392.49,745.731,13736.71,4.121,5517.4975,alta
9590.58,4557.4436,1158.26,205.3595,408.85,104.2568,116.0,220.4,36167.74,10.8503,5098.3102,alta
5045.1,2397.4315,114.87,20.3665,601.82,153.4641,97.87,185.953,16178.17,4.8535,2762.0686,media
7526.09,3576.398,237.38,42.0875,171.23,43.6636,403.08,765.852,4851.5,1.4554,4429.4565,media
5397.12,2564.7114,566.21,100.389,785.5,200.3025,388.62,738.378,30501.14,9.1503,3612.9312,media
5436.66,2583.5008,1190.68,211.1076,1927.51,491.5151,69.06,131.214,22724.75,6.8174,3424.1549,media
3963.89,1883.6405,840.57,149.0331,116.75,29.7713,91.56,173.964,49611.59,14.8835,2251.2924,media
9633.83,4577.996,1072.78,190.2039,194.21,49.5236,109.19,207.461,43299.86,12.99,5038.1745,alta
5887.86,2797.9111,357.57,63.3972,1758.42,448.3971,41.05,77.995,8428.72,2.5286,3390.229,media
860.33,408.8288,544.74,96.5824,1856.25,473.3438,334.29,635.151,41194.27,12.3583,1626.2643,media
3371.57,1602.1701,42.96,7.6168,982.04,250.4202,128.89,244.891,14114.08,4.2342,2109.3323,media
3492.08,1659.4364,634.81,112.5518,657.6,167.688,133.57,253.783,32461.02,9.7383,2203.1975,media
7201.19,3422.0055,1794.0,318.0762,164.71,42.001,248.52,472.188,9417.21,2.8252,4257.0959,media
748.56,355.7157,1806.23,320.2446,1734.58,442.3179,261.37,496.603,15002.43,4.5007,1619.3819,media
931.54,442.6678,1875.05,332.4464,1948.39,496.8395,238.77,453.663,39412.28,11.8237,1737.4404,media
1166.71,554.4206,1219.37,216.1943,902.64,230.1732,448.16,851.504,12874.33,3.8623,1856.1544,media
4782.67,2272.7248,1017.77,180.4506,746.54,190.3677,290.43,551.817,15322.22,4.5967,3199.9568,media
8072.18,3835.8999,211.47,37.4936,1081.88,275.8794,85.43,162.317,21796.43,6.5389,4318.1288,media
9232.02,4387.0559,920.08,163.1302,1753.06,447.0303,439.67,835.373,35781.23,10.7344,5843.3238,alta
3905.4,1855.8461,1354.6,240.1706,284.93,72.6572,47.14,89.566,41886.02,12.5658,2270.8057,media
561.54,266.8438,1214.87,215.3965,82.26,20.9763,257.32,488.908,9685.61,2.9057,995.0303,baja
3637.1,1728.3499,1993.9,353.5185,472.86,120.5793,26.13,49.647,40396.12,12.1188,2264.2135,media
4589.58,2180.9684,1242.63,220.3183,1068.47,272.4599,20.27,38.513,49515.29,14.8546,2727.1142,media
598.29,284.3074,1348.52,239.0926,1700.84,433.7142,144.82,275.158,11056.66,3.317,1235.5892,media
8005.62,3804.2706,272.79,48.3657,763.43,194.6746,270.51,513.969,38261.91,11.4786,4572.7585,media
6814.56,3238.2789,772.74,137.0068,541.59,138.1055,132.57,251.883,9246.44,2.7739,3768.0481,media
1453.45,690.6794,424.91,75.3365,1103.43,281.3747,317.74,603.706,21854.03,6.5562,1657.6528,media
6574.34,3124.1264,1054.78,187.0125,708.31,180.619,5.05,9.595,13184.48,3.9553,3505.3082,media
8572.94,4073.8611,936.19,165.9865,272.29,69.434,206.08,391.552,48632.6,14.5898,4715.4234,media
647.7,307.787,889.78,157.758,905.75,230.9663,86.39,164.141,5071.41,1.5214,862.1737,baja
3971.68,1887.3423,68.8,12.1982,1769.5,451.2225,367.77,698.763,24832.61,7.4498,3056.9758,media
733.02,348.3311,1029.56,182.541,1349.91,344.2271,137.23,260.737,25117.54,7.5353,1143.3715,media
210.65,100.1009,1071.96,190.0585,982.18,250.4559,185.48,352.412,2378.86,0.7137,893.741,baja
5490.91,2609.2804,280.14,49.6688,1037.22,264.4911,91.48,173.812,31621.32,9.4864,3106.7387,media
1373.0,652.4496,1318.73,233.8108,1546.19,394.2785,317.81,603.839,3064.39,0.9193,1885.2972,media
5462.64,2595.8465,1060.76,188.0727,263.26,67.1313,113.87,216.353,17522.04,5.2566,3072.6601,media
7154.71,3399.9182,1015.32,180.0162,653.56,166.6578,395.26,750.994,26718.63,8.0156,4505.6018,media
9022.68,4287.5775,857.25,151.9904,786.23,200.4887,259.34,492.746,28909.26,8.6728,5141.4754,alta
5885.7,2796.8846,1238.23,219.5382,704.4,179.622,450.74,856.406,19655.93,5.8968,4058.3476,media
2353.63,1118.445,1644.87,291.6355,1412.13,360.0932,452.6,859.94,32020.55,9.6062,2639.7199,media
2640.11,1254.5803,694.35,123.1083,1675.48,427.2474,150.55,286.045,34396.16,10.3188,2101.2998,media
9571.07,4548.1725,1401.71,248.5232,44.73,11.4062,134.11,254.809,43391.22,13.0174,5075.9283,alta
6803.05,3232.8094,1576.0,279.4248,1964.1,500.8455,466.54,886.426,12567.76,3.7703,4903.276,media
9046.8,4299.0394,1701.69,301.7096,644.19,164.2685,449.57,854.183,21497.84,6.4494,5625.6499,alta
4674.71,2221.4222,1202.02,213.1181,650.06,165.7653,64.36,122.284,43177.86,12.9534,2735.543,media
5499.13,2613.1866,337.93,59.915,1798.39,458.5895,51.83,98.477,27639.11,8.2917,3238.4598,media
7196.02,3419.5487,1992.16,353.21,1065.47,271.6949,271.54,515.926,18668.31,5.6005,4565.9801,media
1920.14,912.4505,761.53,135.0193,1866.65,475.9958,427.71,812.649,23228.67,6.9686,2343.0832,media
7402.64,3517.7345,627.72,111.2948,134.02,34.1751,398.94,757.986,36188.09,10.8564,4432.0468,media
8114.02,3855.7823,295.61,52.4117,1580.57,403.0453,194.23,369.037,37749.75,11.3249,4691.6012,media
6747.57,3206.4453,1640.99,290.9475,796.61,203.1355,491.11,933.109,40445.33,12.1336,4645.7709,media
9262.94,4401.7491,1861.48,330.0404,710.05,181.0627,316.29,600.951,11589.4,3.4768,5517.28,alta
1483.7,705.0542,1072.18,190.0975,1081.61,275.8105,437.33,830.927,29856.54,8.957,2010.8462,media
2447.54,1163.071,123.05,21.8168,1338.78,341.3889,271.3,515.47,5950.47,1.7851,2043.5318,media
8583.37,4078.8174,497.39,88.1872,176.39,44.9794,466.03,885.457,41259.38,12.3778,5109.8188,alta
6641.15,3155.8745,1319.12,233.88,1180.37,300.9943,193.36,367.384,38192.55,11.4578,4069.5906,media
2671.84,1269.6584,710.56,125.9823,648.08,165.2604,488.17,927.523,28338.53,8.5016,2496.9257,media
7849.19,3729.9351,1160.02,205.6715,338.84,86.4042,401.53,762.907,49662.63,14.8988,4799.8166,media
5065.18,2406.9735,38.5,6.8261,387.6,98.838,135.5,257.45,6400.82,1.9202,2772.0078,media
525.56,249.7461,824.79,146.2353,951.23,242.5636,429.97,816.943,39241.1,11.7723,1467.2603,media
7864.19,3737.0631,1445.58,256.3013,19.7,5.0235,329.9,626.81,38222.44,11.4667,4636.6646,media
2102.33,999.0272,1094.29,194.0176,1054.55,268.9103,459.01,872.119,33322.08,9.9966,2344.0707,media
3916.82,1861.2729,108.73,19.2778,795.68,202.8984,349.42,663.898,19019.03,5.7057,2753.0528,media
7582.07,3602.9997,465.71,82.5704,655.51,167.155,234.43,445.417,2812.76,0.8438,4298.9859,media
3385.81,1608.9369,201.74,35.7685,343.55,87.6052,389.89,740.791,4538.81,1.3616,2474.4632,media
8976.55,4265.6566,624.71,110.7611,1604.47,409.1399,482.97,917.643,9615.66,2.8847,5706.0853,alta
8064.11,3832.0651,1283.21,227.5131,1625.73,414.5611,18.27,34.713,12722.97,3.8169,4512.6692,media
8613.79,4093.273,887.57,157.3662,1299.49,331.37,358.75,681.625,44120.32,13.2361,5276.8703,alta
5869.36,2789.1199,1643.06,291.3145,310.44,79.1622,396.87,754.053,32391.53,9.7175,3923.3671,media
4640.91,2205.3604,1090.2,193.2925,1270.66,324.0183,448.38,851.922,46604.09,13.9812,3588.5744,media
5119.61,2432.8387,1393.59,247.0835,1872.81,477.5666,225.44,428.336,13787.98,4.1364,3589.9612,media
3357.13,1595.3082,1690.07,299.6494,1369.21,349.1486,455.51,865.469,19745.23,5.9236,3115.4988,media
5763.87,2738.991,1887.77,334.7016,1607.71,409.966,315.36,599.184,42883.07,12.8649,4095.7075,media
5565.28,2644.6211,433.55,76.8684,1621.99,413.6075,47.21,89.699,8821.32,2.6464,3227.4424,media
7818.56,3715.3797,830.63,147.2707,1221.35,311.4442,408.83,776.777,20133.48,6.04,4956.9116,media
8822.29,4192.3522,679.55,120.4842,1739.23,443.5036,375.77,713.963,43997.04,13.1991,5483.5021,alta
2854.12,1356.2778,197.57,35.0292,1387.8,353.889,395.13,750.747,8850.53,2.6552,2498.5982,media
2126.87,1010.6886,56.82,10.0742,1518.08,387.1104,351.96,668.724,30173.42,9.052,2085.6492,media
3668.98,1743.4993,70.5,12.4997,1659.72,423.2286,386.9,735.11,9690.43,2.9071,2917.2447,media
3730.06,1772.5245,1049.7,186.1118,949.07,242.0129,298.34,566.846,27602.63,8.2808,2775.776,media
5803.17,2757.6664,1827.82,324.0725,103.1,26.2905,72.04,136.876,45699.41,13.7098,3258.6152,media
3267.77,1552.8443,1655.48,293.5166,351.26,89.5713,396.3,752.97,6386.35,1.9159,2690.8181,media
7192.78,3418.0091,1110.07,196.8154,1175.67,299.7959,69.7,132.43,49104.99,14.7315,4061.7819,media
5211.06,2476.2957,1543.48,273.659,193.26,49.2813,372.62,707.978,11519.57,3.4559,3510.6699,media
9205.46,4374.4346,1135.13,201.2585,14.14,3.6057,402.79,765.301,37987.21,11.3962,5355.996,alta
2762.33,1312.6592,987.55,175.0926,1486.62,379.0881,85.7,162.83,39953.64,11.9861,2041.656,media
